Location,Name,Latitude,Longitude,Reef botto,Reef edge,Minimum di
Molfetta,Secca dei due occhi,41.202000000000005,16.628000000000011,17,3,0.5
Ancona,Bianconi,43.588000000000001,13.568000000000001,09-nov,6,0.5
Ancona,Scogli del cavallo,43.600999999999992,13.554000000000009,10,7,0.5
Spiaggia di Mezzavalle,Scoglio del Trave,43.580999999999982,13.571999999999990,10-nov,0-5,0.01
Portonovo,Secca dell'ospedale,43.558999999999997,13.609000000000009,10,5,0.5
Sirolo (Grotta Urbani),Secca del frate,43.524000000000001,13.624000000000006,08-set,03-apr,0.5
Ortona,Ripari di Giobbe,42.370999999999995,14.396000000000006,6,0.2,Sand
Ortona,Punta Acquabella,42.333999999999989,14.427000000000014,6.5,3,0.1
Friuli Venezia Giulia,San Pietro,45.602999999999987,13.337000000000003,15 - 16,0.2-1.9,8.7
Friuli Venezia Giulia,Bardelli,45.535649999999983,13.278067000000004,20.2 - 22.5,0.2-1.9,15.5
Friuli Venezia Giulia,Misto-Sarago,45.564999999999984,13.314082999999997,19 - 19.5,0.2-1.4,13.5
Friuli Venezia Giulia,Tardivello,45.514899999999997,13.514900000000010,19 - 20.5,0.2-1.6,13.6
Monopoli - (Bari - Italy),Monopoli Mediterranean Mesophotic coral reef,40.975532999999984,17.353224999999995,30 - 55,02-mag,5
Tremiti Islands (Bari - Italy),Mediterranean Mesophotic coral reef,42.127664000000003,15.502311000000006,40,15,0.5
Apulia region -  Italy,Mediterranean Mesophotic coral reef,41.007591999999995,17.279543999999998,30,10,0.3
Apulia region -  Italy,Mediterranean Mesophotic coral reef (Ionian side),40.153691000000002,17.733132000000008,30,10,0.5
KAMI?I?I,Kami?i?i reef,43.791999999999987,15.280999999999999,2,50,0.1
Kornati MPA,Mana reef,43.805000000000000,15.274000000000006,3,30,0.05
Kornati MPA,Tovarnjak,43.840999999999987,15.242999999999999,3,31,0.15
Island Vis,Pokrivena reef,43.024000000000001,16.252000000000002,1,20,1.84
Island Bi?evo,Baba reef,42.953666669999983,16.002833330000005,2,40,0.21
Island Vis,Stupi??e reef,43.005333329999978,16.058499999999992,10,45,0.5
Island Vis,Seget reef,43.070999999999991,16.019833330000001,80,70,3.33
Island Pag,Rt Letavica,44.464583330000011,14.940666669999999,39,25,0.13
Island Vis,Sika od Stupi?ta,43.007166669999989,16.066166669999994,50,43,0.3
Veneto,Caorle,45.584189999999985,12.934180999999999,08-dic,3,Sand
Veneto,D' Ancona,45.398828999999985,12.569087999999986,16 - 21,7.7,Mud
Veneto,Malamocco,45.381163999999984,12.383516000000002,08-nov,1.7,Sand
Veneto,Sorse,45.335016999999979,12.719234999999999,19 - 24,19.6,Sand
Veneto,Venezia,45.337003999999986,12.537116000000005,18 - 21,16.4,Sand
Veneto,Cavallino Vicina,45.410647999999981,12.514373000000001,14 - 17,4.5,Mud
Veneto,Cavallino Lontana,45.400523000000000,12.649629999999991,16 - 23,10,Sand
Veneto,Chioggia,45.164685999999989,12.483038999999993,17.5 - 23.5,10,Sand
