Latitude;Longitude;type;Country;Region;Location;Name;year_deployment;year_modification;min_depth_m;max_depth_m;bottom_depth_m;reef_edge_m;Min_dist_filt_km;min_dist_km;surrounding_seabed;meadows;typo_filt;reef_typology;structure_wreck;Material;Arrangement_modules;origin_reef;total_area_sqm;total_volume_cubm;n_oasis;dist_between_oasi_m;dimens_oasi_sqm;type_structures;n_structures;dim_structures_m;dist_between_structures_m;modules_shape;n_modules;dist_between_modules_m;dimension_leng_width_heigh_m;weight_or_displacement_tons;experimental_professional;scope;exploitation;possible_exploitation;observations;biocenosis;alien_species;Alien species (form);protected_species;Protected species (form);protect_area_y_n;Protected area;managment_prog_Y_N;Management_program;Concession_area_Y_N;Surveillance_service_Y_N;Surveillance_service;Monitoring_program_Y_N;Monitoring_program;Available data;Available literature (Scientific or Grey)
45.04155556;14.16316667;Natural reef;Croatia;Istra;Prtlog peninsula;Reef Rabac;;;30;50;30 - 50;30 - 50;0;0;Detritic;Yes;Ledges;Ledges (vertical reef face characterized by visible crevices);;;;Biogenic;;;;;;;;;;;;;;;;;Professional fishery, Recreational fishery;;;infralitoral algae, coraligenic community;;Maybe;;Maybe;no;no;no;no;;no;no;no;no;;
45.153;14.675;Natural reef;Croatia;Primorje-Gorski Kotar;?ilo;Konjsko;;;20;20;20;5.8;0.15;0.15;Gravel;No;Low profile reef;Low profile reef (the reef protrudes less than 20 meters  from the base substratum);;;;Geogenic;10000;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling, Research, Fishing Tourism;;Not yet determined.;;Maybe;;Maybe;no;no;no;no;;no;no;no;no;;
44.95222222;14.57186111;Natural reef;Croatia;Primorje-Gorski Kotar;Island Plavnik;Sika od Kormata;;;72;72;72;67.4;0.2;0.2;Detritic;Yes;High profile reef;High profile reef (the reef protrudes more than 20 meters from the base substratum) ;;;;Biogenic;;;;;;;;;;;;;;;;;;Diving/Snorkeling, Professional fishery;;;;;;Maybe;no;no;no;no;;no;no;no;no;;
44.16841167;14.81245;Natural reef;Croatia;Zadar;Dugi Otok;Pli? Lagne;;;1;15;Jan-15;15;1;1;Rocks;Yes, algae;Patch reef;Patch reef (sand bottom with small reef structures protruding from the sediment);;;;Geogenic;97200;;;;;;;;;;;;;;;;Professional fishery;Diving/Snorkeling, Recreational fishery, Fishing Tourism;;Posidonia oceanica;no;No;Labrus viridis;Labrus viridis;no;no;no;no;;no;no;no;no;;
41.202;16.628;Natural reef;Italy;Apulia;Molfetta;Secca dei due occhi;;;17;17;17;3;0.5;0.5;Sand;No;Patch reef, Low profile reef;"Patch reef (sand bottom with small reef structures protruding from the sediment)
Low profile reef (the reef protrudes less than 20 meters  from the base substratum)";;;;Biogenic;100;;;;;;;;;;;;;;;;None;Diving/Snorkeling, Research;;Smittina cervicornis, Myriapora truncata, Cladocora spp, Parazoanthus spp, Aplysina spp, Chondrosia spp,  Leptogorgia spp, Cladocora caespitosa, Aplysina aerophoba, Peysonnellia spp;;Maybe;;Maybe;no;no;no;no;;no;no;no;no;Fish community;
40.975533;17.353225;Natural reef;Italy;Apulia;Monopoli;Monopoli Mediterranean Mesophotic coral reef;;;30;55;30 - 55;02-May;5;5;Sand, Mud;Yes, algae;Low profile reef;Low profile reef (the reef protrudes less than 20 meters  from the base substratum);;;;Biogenic;50000;;;;;;;;;;;;;;;;None;Research;;" Phyllangia americana mouchezii, Polycyathus muellerae, Leptopsammia pruvoti, Caryophyllia inornata, Hoplangia durotrix


";;Maybe;;Maybe;no;no;no;no;;no;no;no;no;Benthic community, Geophysical map;"Corriero G., Pierri C., Mercurio M., Marzano C.N., Tarantini S.O., Gravina M.F., Lisco S., Moretti M., De Giosa F., Valenzano E., Giangrande A., Mastrodonato M., Longo C., Cardone F. 2019. A Mediterranean mesophotic coral reef built by non-symbiotic scleractinians. Scientific Reports, 17;
Abstract: This is the first description of a Mediterranean mesophotic coral reef. The bioconstruction extended for 2.5km along the Italian Adriatic coast in the bathymetric range ?30/?55 m. It appeared as a framework of coral blocks mostly built by two scleractinians, Phyllangia americana mouchezii (LacazeDuthiers, 1897) and Polycyathus muellerae (Abel, 1959), which were able to edify a secondary substrate with high structural complexity. Scleractinian corallites were cemented by calcifed polychaete tubes and organized into an  interlocking meshwork that provided the reef stifness. Aggregates of several individuals of the bivalve Neopycnodonte cochlear (Poli, 1795) contributed to the compactness of the structure. The species composition of the benthic community showed a marked similarity with those described for Mediterranean coralligenous communities and it appeared to be dominated by invertebrates, while calcareous algae, which are usually considered the main coralligenous reefbuilders, were poorly represented. Overall, the studied reef can be considered a unique environment, to be included in the wide and diversifed category of Mediterranean bioconstructions. The main reefbuilding scleractinians lacked algal symbionts, suggesting that heterotrophy had a major role in the metabolic processes that supported the production of calcium carbonate. The large amount of available suspended organic matter in the area could be the main nutritional source for these species, as already suggested in the literature referred to Mediterranean cold-water corals"
45.565;13.314083;Natural reef;Italy;Friuli Venezia Giulia;Grado;Misto-Sarago;;;19;19.5;19 - 19.5;0.2-1.4;13.5;13.5;Sand, Mud, Detritic;Yes, algae;Patch reef;Patch reef (sand bottom with small reef structures protruding from the sediment);;;;Biogenic;2570;;;;;;;;;;;;;;;;Diving/Snorkeling, Recreational fishery;Diving/Snorkeling;;DC (coastal detritic), C (precoralligen);no;No;Homarus gammarus, Sciaena umbra;Homarus gammarus, Sciaena umbra;no;no;no;no;;no;no;no;no;Benthic community, Fish community, Geophysical map;"Progetto Le trezze dell'alto Adriatico: Studio di alcune aree di particolare pregio ambientale ai fini della valorizzazione delle risorse alieutiche locali. Gordini E. 2010. Relazione tecnico-scientifica finale N. 103 / 2010 RIMA 17 GEA. p: 19-39.;"
45.515;13.132;Natural reef;Italy;Friuli Venezia Giulia;Friuli Venezia Giulia;Tardivello;;;19;20.5;19 - 20.5;0.2-1.6;13.6;13.6;Sand, Detritic;Yes, algae;Patch reef;Patch reef (sand bottom with small reef structures protruding from the sediment);;;;Biogenic;620;;;;;;;;;;;;;;;;Diving/Snorkeling, Recreational fishery;Diving/Snorkeling;;DC (coastal detritic), C (precoralligen);no;No;;Maybe;no;no;no;no;;no;no;no;no;Geophysical map;"Progetto Le trezze dell'alto Adriatico: Studio di alcune aree di particolare pregio ambientale ai fini della valorizzazione delle risorse alieutiche locali. Gordini E. 2010. Relazione tecnico-scientifica finale N. 103 / 2010 RIMA 17 GEA. p: 19-39.;"
45.07507;12.506284;Natural reef;Italy;Veneto;Veneto;tegn—a CRCL;;;;;;1;8.6;8.6;Sand, Mud, Detritic;No;Patch reef;Patch reef (sand bottom with small reef structures protruding from the sediment);;;;Biogenic;26510;;;;;;;;;;;;;;;;Research;Research;;DC (coastal detritic), C (precoralligen);;Maybe;Homarus gammarus;Homarus gammarus;no;no;no;no;;no;no;yes;Piano di monitoraggio ambientale del Terminale GNL di Porto Viro e della condotta di collegamento alla terraferma;Benthic community, Fish community, Geophysical map;"Piano di monitoraggio ambientale (fase di esercizio) del Terminale GNL di Porto Viro e della condotta di collegamento alla terraferma. ISPRA 2016. Relazione tecnico scientifica Indagini Remotely Operated Vehicle (ROV). Area del Terminale -Fase di esercizio provvisorio V anno (46 E), pp. 53.;"
45.298;13.5683;Natural reef;Croatia;Istra;Novigrad;Lanterna, Zub;;;16;16;16;3;2;2;Rocks, Sand;Yes, algae and phanerogams;Low profile reef;Low profile reef (the reef protrudes less than 20 meters  from the base substratum);;;;;;;;;;;;;;;;;;;;;Diving/Snorkeling;Diving/Snorkeling;;Posidonia meadows, cistoseire meadows;;;;;no;no;no;no;;;;No;No;;
